mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8646194458007812,0.0168983865675306,0.02933535575866699,0.003144150572948148,balanced,,1,100,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.3880597014925373,0.547945205479452,0.5555555555555556,0.5333333333333333,0.47058823529411764,0.49909640623099916,0.06306801648573002,11
1.7339509010314942,0.029633035448935027,0.05091419219970703,0.0024644188509968966,balanced,,1,200,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.36363636363636365,0.5352112676056338,0.5945945945945946,0.5714285714285714,0.47058823529411764,0.5070918065118561,0.08306459671443424,9
0.8543598175048828,0.020257860523177337,0.029330015182495117,0.0034134560842569873,balanced,,3,100,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",0.5853658536585366,0.6739130434782609,0.7058823529411765,0.6444444444444445,0.6153846153846154,0.6449980619814067,0.042370357614298595,5
1.7191619396209716,0.021377277396497304,0.05076966285705566,0.0024488860833692273,balanced,,3,200,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",0.5783132530120482,0.6741573033707865,0.6804123711340206,0.6666666666666666,0.5869565217391305,0.6373012231845305,0.04492981322867305,7
0.8958149433135987,0.011330507850306553,0.02852621078491211,0.0008058049762155041,balanced,20,1,100,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",0.36363636363636365,0.5070422535211268,0.5945945945945946,0.5897435897435898,0.47058823529411764,0.5051210073579585,0.08530019015789377,10
1.9046033382415772,0.15102003278469386,0.06483869552612305,0.010898363894991723,balanced,20,1,200,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}",0.36363636363636365,0.4857142857142857,0.5945945945945946,0.5526315789473685,0.463768115942029,0.49206898776692826,0.079392175976176,13
1.0628633499145508,0.011716076231660575,0.033031558990478514,0.003676883363943935,balanced,20,3,100,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 100}",0.5853658536585366,0.6888888888888889,0.693069306930693,0.6444444444444445,0.6086956521739131,0.6440928292192952,0.04267862173383642,6
2.535947799682617,0.238002305710052,0.0692110538482666,0.01180666993618089,balanced,20,3,200,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}",0.5783132530120482,0.6741573033707865,0.6804123711340206,0.6666666666666666,0.5869565217391305,0.6373012231845305,0.04492981322867305,7
2.5557564735412597,0.059276865144350314,0.04247989654541016,0.010399926670845612,balanced_subsample,,1,100,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.3384615384615385,0.5070422535211268,0.5555555555555556,0.5454545454545454,0.417910447761194,0.47288486815079206,0.0828967382436759,16
3.841025686264038,0.20888443942092652,0.060701942443847655,0.011815475903132902,balanced_subsample,,1,200,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.36363636363636365,0.4927536231884058,0.5753424657534246,0.5822784810126582,0.4411764705882353,0.4910374808358176,0.08264667052747018,14
2.300312566757202,0.5720343280935665,0.046198558807373044,0.005686762806314163,balanced_subsample,,3,100,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",0.6190476190476191,0.6881720430107527,0.7142857142857143,0.6373626373626373,0.64,0.6597736027413447,0.03558059638949485,4
4.966832494735717,0.6191276486588803,0.05987458229064942,0.0038440643179470913,balanced_subsample,,3,200,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",0.6341463414634146,0.7032967032967034,0.7216494845360825,0.6444444444444445,0.6595744680851063,0.6726222883651503,0.03402710886290904,2
2.421153688430786,0.3422279628684507,0.04829092025756836,0.015904569395329516,balanced_subsample,20,1,100,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",0.36363636363636365,0.5277777777777778,0.5555555555555556,0.5454545454545454,0.44776119402985076,0.4880370872908187,0.07284575233038759,15
4.453935956954956,0.1977864316773012,0.06117606163024902,0.0049845977156890995,balanced_subsample,20,1,200,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}",0.36363636363636365,0.4927536231884058,0.5945945945945946,0.6,0.43478260869565216,0.4971534380230033,0.09144231206484815,12
2.3068661212921144,0.1556752602197534,0.0385075569152832,0.005993290061597039,balanced_subsample,20,3,100,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 100}",0.6190476190476191,0.6881720430107527,0.7010309278350515,0.6373626373626373,0.66,0.6611226454512121,0.03053013945334566,3
3.922297143936157,0.5825589915534136,0.05365428924560547,0.019408713210883607,balanced_subsample,20,3,200,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}",0.6341463414634146,0.7111111111111111,0.7216494845360825,0.6444444444444445,0.6595744680851063,0.6741851699280318,0.03554568170374637,1
